,0
Sant Marti,37.03012526665544
Sants-Montjuic,28.993023758648757
Eixample,46.59690008666302
Gracia,39.980450384545215
Ciutat Vella,30.144358015335026
Horta-Guinardo,28.07078881766382
Les Corts,27.78428649237473
elbarrio que falta,7.774776149776149
