,0
Sant Marti,
Sants-Montjuic,
Eixample,19.934599358974356
Gracia,26.850739983462688
Ciutat Vella,25.900054643898034
Horta-Guinardo,35.71123869345852
Les Corts,37.6574095573902
elbarrio que falta,57.99217796092796
