,0
Sant Marti,31.033693464368753
Sants-Montjuic,28.918407382847036
Eixample,43.15481277981278
Gracia,35.90005961737283
Ciutat Vella,26.813256400900077
Horta-Guinardo,25.38016074761764
Les Corts,22.84534861690034
