,0
Sant Marti,20.53873836891078
Sants-Montjuic,
Eixample,17.334426708349124
Gracia,16.070812807881776
Ciutat Vella,
Horta-Guinardo,9.444163929939792
Les Corts,
elbarrio que falta,7.56712962962963
