,0
Sant Marti,27.383288393705058
Sants-Montjuic,
Eixample,26.360876407543078
Gracia,26.18638440369762
Ciutat Vella,
Horta-Guinardo,19.469005179314088
Les Corts,24.91454517704518
elbarrio que falta,15.765839099172434
