,0
Sant Marti,
Sants-Montjuic,
Eixample,23.885639025725236
Gracia,31.225909961685826
Ciutat Vella,30.060160098522164
Horta-Guinardo,41.21413177339901
Les Corts,42.029997930813146
elbarrio que falta,63.361111111111114
