nom_cabina,Avg_no2
"Barcelona - Ciutadella",39.5327
"Barcelona - Eixample",48.4156
"Barcelona - Gràcia",45.7321
"Barcelona - Observ Fabra",11.1131
"Barcelona - Palau Reial",27.7296
"Barcelona - Poblenou",42.5963
"Barcelona - Sants",34.8929
"Barcelona - Vall Hebron",28.4510
