nom_cabina,Avg_o3
"Barcelona - Observ Fabra",57.0000
"Barcelona - Palau Reial",45.0000
"Barcelona - Vall Hebron",39.0000
"Barcelona - Ciutadella",38.0000
"Barcelona - Eixample",32.0000
"Barcelona - Gràcia",12.0000
